id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,ict_index,chance_of_playing_next_round,position,team_name,base_xP,AI_xP_gw1,AI_xP_gw2,AI_xP_gw3,AI_xP_gw4,AI_xP_gw5,AI_xP_gw6,AI_xP_gw7,AI_xP_gw8,AI_xP_gw9,AI_xP_gw10,AI_xP_gw11,AI_xP_gw12,AI_xP_gw13,AI_xP_gw14,AI_xP_gw15,AI_xP_gw16,AI_xP_gw17,AI_xP_gw18,AI_xP_gw19,AI_xP_gw20,AI_xP_gw21,AI_xP_gw22,AI_xP_gw23,AI_xP_gw24,AI_xP_gw25,AI_xP_gw26,AI_xP_gw27,AI_xP_gw28,AI_xP_gw29,AI_xP_gw30,AI_xP_gw31,AI_xP_gw32,AI_xP_gw33,AI_xP_gw34,AI_xP_gw35,AI_xP_gw36,AI_xP_gw37,AI_xP_gw38
11,Mosquera,5.3,12,1.5,168,0.0,0.01,0.01,2.7,100.0,DEF,Arsenal,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.7171945628309442,1.3737556502647554,1.3737556502647554,1.0303167376985667,1.7171945628309442,1.3737556502647554,1.0303167376985667,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.0303167376985667,1.3737556502647554,1.3737556502647554,1.7171945628309442,1.3737556502647554,1.7171945628309442,1.7171945628309442,1.0303167376985667,1.0303167376985667,1.7171945628309442,1.7171945628309442,1.0303167376985667,1.3737556502647554,1.0303167376985667,1.7171945628309442,1.7171945628309442,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.3737556502647554,1.7171945628309442
12,Saka,9.5,32,5.8,416,3.22,0.98,4.2,52.1,100.0,MID,Arsenal,5.223238255033556,5.223238255033556,5.223238255033556,5.223238255033556,5.223238255033556,5.223238255033556,6.529047818791946,5.223238255033556,5.223238255033556,3.917428691275167,6.529047818791946,5.223238255033556,3.917428691275167,5.223238255033556,5.223238255033556,5.223238255033556,3.917428691275167,5.223238255033556,5.223238255033556,6.529047818791946,5.223238255033556,6.529047818791946,6.529047818791946,3.917428691275167,3.917428691275167,6.529047818791946,6.529047818791946,3.917428691275167,5.223238255033556,3.917428691275167,6.529047818791946,6.529047818791946,5.223238255033556,5.223238255033556,5.223238255033556,5.223238255033556,5.223238255033556,5.223238255033556,6.529047818791946
13,Rice,7.4,20,4.2,411,0.12,0.69,0.81,23.4,75.0,MID,Arsenal,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.6843176828630835,3.3553971035788543,2.6843176828630835,2.6843176828630835,2.0132382621473126,3.3553971035788543,2.6843176828630835,2.0132382621473126,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.0132382621473126,2.6843176828630835,2.6843176828630835,3.3553971035788543,2.6843176828630835,3.3553971035788543,3.3553971035788543,2.0132382621473126,2.0132382621473126,3.3553971035788543,3.3553971035788543,2.0132382621473126,2.6843176828630835,2.0132382621473126,3.3553971035788543,3.3553971035788543,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.6843176828630835,2.6843176828630835,3.3553971035788543
14,Eze,6.3,4,0.8,85,0.04,0.09,0.13,1.6,100.0,MID,Arsenal,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.8011606620268386,1.001450827533548,0.8011606620268386,0.8011606620268386,0.6008704965201289,1.001450827533548,0.8011606620268386,0.6008704965201289,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.6008704965201289,0.8011606620268386,0.8011606620268386,1.001450827533548,0.8011606620268386,1.001450827533548,1.001450827533548,0.6008704965201289,0.6008704965201289,1.001450827533548,1.001450827533548,0.6008704965201289,0.8011606620268386,0.6008704965201289,1.001450827533548,1.001450827533548,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.8011606620268386,0.8011606620268386,1.001450827533548
15,Ødegaard,6.8,29,4.5,377,1.08,1.32,2.4,36.2,100.0,MID,Arsenal,3.8500574506283662,3.8500574506283662,3.8500574506283662,3.8500574506283662,3.8500574506283662,3.8500574506283662,4.812571813285458,3.8500574506283662,3.8500574506283662,2.8875430879712747,4.812571813285458,3.8500574506283662,2.8875430879712747,3.8500574506283662,3.8500574506283662,3.8500574506283662,2.8875430879712747,3.8500574506283662,3.8500574506283662,4.812571813285458,3.8500574506283662,4.812571813285458,4.812571813285458,2.8875430879712747,2.8875430879712747,4.812571813285458,4.812571813285458,2.8875430879712747,3.8500574506283662,2.8875430879712747,4.812571813285458,4.812571813285458,3.8500574506283662,3.8500574506283662,3.8500574506283662,3.8500574506283662,3.8500574506283662,3.8500574506283662,4.812571813285458
16,Madueke,6.2,2,0.2,23,0.0,0.05,0.05,5.6,100.0,MID,Arsenal,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.26965322457141905,0.21572257965713523,0.21572257965713523,0.16179193474285142,0.26965322457141905,0.21572257965713523,0.16179193474285142,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.16179193474285142,0.21572257965713523,0.21572257965713523,0.26965322457141905,0.21572257965713523,0.26965322457141905,0.26965322457141905,0.16179193474285142,0.16179193474285142,0.26965322457141905,0.26965322457141905,0.16179193474285142,0.21572257965713523,0.16179193474285142,0.26965322457141905,0.26965322457141905,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.21572257965713523,0.26965322457141905
17,Merino,5.8,4,0.8,81,0.14,0.15,0.29,3.0,100.0,MID,Arsenal,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.9046160234103131,0.7236928187282505,0.7236928187282505,0.542769614046188,0.9046160234103131,0.7236928187282505,0.542769614046188,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.542769614046188,0.7236928187282505,0.7236928187282505,0.9046160234103131,0.7236928187282505,0.9046160234103131,0.9046160234103131,0.542769614046188,0.542769614046188,0.9046160234103131,0.9046160234103131,0.542769614046188,0.7236928187282505,0.542769614046188,0.9046160234103131,0.9046160234103131,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.7236928187282505,0.9046160234103131
19,Zubimendi,5.3,5,1.0,89,0.21,0.04,0.25,4.8,100.0,MID,Arsenal,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.9364845557104502,0.7491876445683602,0.7491876445683602,0.5618907334262702,0.9364845557104502,0.7491876445683602,0.5618907334262702,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.5618907334262702,0.7491876445683602,0.7491876445683602,0.9364845557104502,0.7491876445683602,0.9364845557104502,0.9364845557104502,0.5618907334262702,0.5618907334262702,0.9364845557104502,0.9364845557104502,0.5618907334262702,0.7491876445683602,0.5618907334262702,0.9364845557104502,0.9364845557104502,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.7491876445683602,0.9364845557104502
20,Dowman,5.3,1,0.2,9,0.0,0.08,0.08,1.7,100.0,MID,Arsenal,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.09436350777934936,0.07549080622347949,0.07549080622347949,0.05661810466760962,0.09436350777934936,0.07549080622347949,0.05661810466760962,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.05661810466760962,0.07549080622347949,0.07549080622347949,0.09436350777934936,0.07549080622347949,0.09436350777934936,0.09436350777934936,0.05661810466760962,0.05661810466760962,0.09436350777934936,0.09436350777934936,0.05661810466760962,0.07549080622347949,0.05661810466760962,0.09436350777934936,0.09436350777934936,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.07549080622347949,0.09436350777934936
25,Gyökeres,7.1,2,0.5,29,0.0,0.23,0.23,1.4,100.0,FWD,Arsenal,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.37613926089545396,0.3009114087163632,0.3009114087163632,0.2256835565372724,0.37613926089545396,0.3009114087163632,0.2256835565372724,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.2256835565372724,0.3009114087163632,0.3009114087163632,0.37613926089545396,0.3009114087163632,0.37613926089545396,0.37613926089545396,0.2256835565372724,0.2256835565372724,0.37613926089545396,0.37613926089545396,0.2256835565372724,0.3009114087163632,0.2256835565372724,0.37613926089545396,0.37613926089545396,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.3009114087163632,0.37613926089545396
