id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,position,team_name,base_xP,team,next_3_fdr,AI_xP
77,Adli,4.9,0,0.0,0,0.0,0.0,0.0,MID,Bournemouth,0.0,3,3.6666666666666665,0.0
78,Kroupi.Jr,7.4,0,0.0,0,0.0,0.0,0.0,MID,Bournemouth,0.0,3,3.6666666666666665,0.0
79,Evanilson,6.0,16,4.0,334,0.71,0.51,1.22,FWD,Bournemouth,25.21,3,3.6666666666666665,20.62636363636364
80,Enes Ünal,5.5,0,0.0,0,0.0,0.0,0.0,FWD,Bournemouth,0.0,3,3.6666666666666665,0.0
81,Rodríguez,6.0,2,0.5,10,0.0,0.0,0.0,FWD,Bournemouth,1.7,3,3.6666666666666665,1.3909090909090909
566,Silva,5.0,10,2.5,360,0.85,0.27,1.12,DEF,Bournemouth,11.92,3,3.6666666666666665,9.752727272727274
573,Sanchez,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Bournemouth,0.0,3,3.6666666666666665,0.0
608,Jebbison,5.0,2,0.5,16,0.1,0.0,0.1,FWD,Bournemouth,2.04,3,3.6666666666666665,1.6690909090909092
615,Di Gregorio,4.5,0,0.0,0,0.0,0.0,0.0,GK,Bournemouth,0.0,3,3.6666666666666665,0.0
82,Kelleher,5.0,14,3.5,360,0.0,0.01,0.01,GK,Brentford,12.7865,4,3.6666666666666665,10.46168181818182
83,Valdimarsson,4.5,0,0.0,0,0.0,0.0,0.0,GK,Brentford,0.0,4,3.6666666666666665,0.0
84,Collins,5.5,10,2.5,196,0.51,0.05,0.56,DEF,Brentford,11.29,4,3.6666666666666665,9.237272727272726
85,Van den Berg,4.9,0,0.0,0,0.0,0.0,0.0,DEF,Brentford,0.0,4,3.6666666666666665,0.0
86,Lewis-Potter,5.5,19,4.8,326,1.06,0.78,1.84,MID,Brentford,19.99,4,3.6666666666666665,16.355454545454545
87,Ajer,4.5,14,3.5,360,0.13,0.03,0.16,DEF,Brentford,13.485,4,3.6666666666666665,11.033181818181818
88,Kayode,4.6,17,4.2,226,0.55,0.36,0.91,DEF,Brentford,15.7,4,3.6666666666666665,12.845454545454546
89,Henry,4.5,1,0.2,2,0.0,0.0,0.0,DEF,Brentford,1.0,4,3.6666666666666665,0.8181818181818182
90,Hickey,4.5,4,1.0,131,0.03,0.05,0.08,DEF,Brentford,6.34,4,3.6666666666666665,5.1872727272727275
92,Ji-soo,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Brentford,0.0,4,3.6666666666666665,0.0
93,Schuster,4.5,7,1.8,163,0.1,0.02,0.12,DEF,Brentford,6.93,4,3.6666666666666665,5.67
94,Schade,6.0,30,7.5,357,0.98,0.3,1.28,MID,Brentford,25.49,4,3.6666666666666665,20.855454545454545
95,O.Dango,6.4,6,1.5,170,0.09,0.39,0.48,MID,Brentford,5.96,4,3.6666666666666665,4.876363636363637
96,Damsgaard,5.5,13,3.2,197,0.13,0.45,0.58,MID,Brentford,11.49,4,3.6666666666666665,9.400909090909092
97,Jensen,5.4,6,1.5,66,0.08,0.34,0.42,MID,Brentford,4.85,4,3.6666666666666665,3.9681818181818183
98,Janelt,5.0,25,6.2,360,0.5,0.4,0.9,MID,Brentford,15.32,4,3.6666666666666665,12.534545454545455
99,Milambo,5.0,0,0.0,0,0.0,0.0,0.0,MID,Brentford,0.0,4,3.6666666666666665,0.0
100,Carvalho,5.0,0,0.0,0,0.0,0.0,0.0,MID,Brentford,0.0,4,3.6666666666666665,0.0
102,Yarmoliuk,4.9,6,1.5,148,0.07,0.24,0.31,MID,Brentford,5.81,4,3.6666666666666665,4.753636363636364
103,Dasilva,4.9,0,0.0,0,0.0,0.0,0.0,MID,Brentford,0.0,4,3.6666666666666665,0.0
105,Anthony,5.9,5,1.2,187,0.19,0.52,0.71,MID,Brentford,6.55,4,3.6666666666666665,5.359090909090909
106,Thiago,7.9,5,1.2,352,2.41,0.13,2.54,FWD,Brentford,13.04,4,3.6666666666666665,10.66909090909091
107,Furo,4.5,0,0.0,0,0.0,0.0,0.0,FWD,Brentford,0.0,4,3.6666666666666665,0.0
108,Wilson,5.5,3,0.8,13,0.07,0.04,0.11,FWD,Brentford,2.75,4,3.6666666666666665,2.25
565,M.Sangaré,5.7,22,5.5,300,0.41,0.65,1.06,MID,Brentford,18.3,4,3.6666666666666665,14.972727272727274
620,Diouf,4.5,1,0.3,30,0.0,0.01,0.01,DEF,Brentford,0.95,4,3.6666666666666665,0.7772727272727273
657,Nunes,4.5,0,0.0,0,0.0,0.0,0.0,MID,Brentford,0.0,4,3.6666666666666665,0.0
109,Verbruggen,4.5,17,4.2,360,0.0,0.2,0.2,GK,Brighton,9.88,5,3.0,9.88
111,Steele,4.0,0,0.0,0,0.0,0.0,0.0,GK,Brighton,0.0,5,3.0,0.0
113,F.Kadıoğlu,4.4,8,2.0,257,0.08,0.11,0.19,DEF,Brighton,8.01,5,3.0,8.01
114,Boscagli,4.5,13,3.2,347,0.06,0.51,0.57,DEF,Brighton,11.98,5,3.0,11.98
115,De Cuyper,4.8,32,8.0,333,1.53,0.44,1.97,DEF,Brighton,27.84,5,3.0,27.84
116,Dunk,4.5,22,5.5,360,0.03,0.09,0.12,DEF,Brighton,17.0775,5,3.0,17.0775
117,Coppola,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Brighton,0.0,5,3.0,0.0
118,Igor,4.5,0,0.0,0,0.0,0.0,0.0,DEF,Brighton,0.0,5,3.0,0.0
119,Costinha,4.5,3,0.8,54,0.12,0.16,0.28,DEF,Brighton,3.33,5,3.0,3.33
120,Svoboda,5.0,0,0.0,0,0.0,0.0,0.0,DEF,Brighton,0.0,5,3.0,0.0
121,Mitoma,5.9,0,0.0,0,0.0,0.0,0.0,MID,Brighton,0.0,5,3.0,0.0
